city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Accra,Passing clouds. Mild.,Mon 1:27 am,https://www.timeanddate.com/weather/ghana/accra,2026-08-24 01:27:03.395074+00:00,75,23.9,ghana
Edmonton,Partly sunny. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/canada/edmonton,2026-08-24 01:27:03.395074+00:00,70,21.1,canada
Nassau,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/bahamas/nassau,2026-08-24 01:27:03.395074+00:00,86,30.0,bahamas
Addis Ababa,Partly cloudy. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/ethiopia/addis-ababa,2026-08-24 01:27:03.395074+00:00,57,13.9,ethiopia
Frankfurt,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/germany/frankfurt,2026-08-24 01:27:03.395074+00:00,50,10.0,germany
New Delhi,Fog. Warm.,Mon 6:57 am,https://www.timeanddate.com/weather/india/new-delhi,2026-08-24 01:27:03.395074+00:00,83,28.3,india
Adelaide,Cool.,Mon 10:57 am,https://www.timeanddate.com/weather/australia/adelaide,2026-08-24 01:27:03.395074+00:00,56,13.3,australia
Guatemala City,Passing clouds. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/guatemala/guatemala,2026-08-24 01:27:03.395074+00:00,73,22.8,guatemala
New Orleans,Passing clouds. Warm.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/new-orleans,2026-08-24 01:27:03.395074+00:00,87,30.6,usa
Algiers,Passing clouds. Warm.,Mon 2:27 am,https://www.timeanddate.com/weather/algeria/algiers,2026-08-24 01:27:03.395074+00:00,84,28.9,algeria
Halifax,Fog. Mild.,Sun 10:27 pm,https://www.timeanddate.com/weather/canada/halifax,2026-08-24 01:27:03.395074+00:00,72,22.2,canada
New York,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/new-york,2026-08-24 01:27:03.395074+00:00,75,23.9,usa
Almaty,Broken clouds. Mild.,Mon 6:27 am,https://www.timeanddate.com/weather/kazakstan/almaty,2026-08-24 01:27:03.395074+00:00,63,17.2,kazakstan
Hanoi,Sunny. Warm.,Mon 8:27 am,https://www.timeanddate.com/weather/vietnam/hanoi,2026-08-24 01:27:03.395074+00:00,81,27.2,vietnam
Oslo,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/norway/oslo,2026-08-24 01:27:03.395074+00:00,50,10.0,norway
Amman,Clear. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/jordan/amman,2026-08-24 01:27:03.395074+00:00,75,23.9,jordan
