country,city_count,average_temperature_c,minimum_temperature_c,maximum_temperature_c
kuwait,1,37.8,37.8,37.8
united-arab-emirates,1,35.0,35.0,35.0
qatar,1,32.8,32.8,32.8
saudi-arabia,1,32.2,32.2,32.2
iraq,1,31.7,31.7,31.7
taiwan,1,31.1,31.1,31.1
south-korea,1,31.1,31.1,31.1
hong-kong,1,31.1,31.1,31.1
bahamas,1,30.0,30.0,30.0
singapore,1,30.0,30.0,30.0
greece,1,30.0,30.0,30.0
dominican-republic,1,29.4,29.4,29.4
philippines,1,29.4,29.4,29.4
kiribati,1,29.4,29.4,29.4
jamaica,1,29.4,29.4,29.4
nicaragua,1,28.9,28.9,28.9
japan,1,28.9,28.9,28.9
malaysia,1,28.9,28.9,28.9
algeria,1,28.9,28.9,28.9
thailand,1,28.9,28.9,28.9
puerto-rico,1,28.3,28.3,28.3
china,2,28.0,25.0,31.1
cuba,1,27.8,27.8,27.8
el-salvador,1,27.8,27.8,27.8
iran,1,27.2,27.2,27.2
myanmar,1,27.2,27.2,27.2
pakistan,3,27.2,25.6,28.9
vietnam,1,27.2,27.2,27.2
venezuela,1,27.2,27.2,27.2
usa,22,27.1,17.2,43.3
bangladesh,1,26.7,26.7,26.7
india,4,26.2,21.1,28.3
egypt,1,25.0,25.0,25.0
italy,1,25.0,25.0,25.0
honduras,1,25.0,25.0,25.0
indonesia,1,25.0,25.0,25.0
fiji,1,24.4,24.4,24.4
jordan,1,23.9,23.9,23.9
ghana,1,23.9,23.9,23.9
spain,2,23.6,22.2,25.0
romania,1,22.8,22.8,22.8
nigeria,1,22.8,22.8,22.8
congo-demrep,1,22.8,22.8,22.8
guatemala,1,22.8,22.8,22.8
peru,1,22.2,22.2,22.2
morocco,1,22.2,22.2,22.2
nepal,1,22.2,22.2,22.2
bulgaria,1,21.7,21.7,21.7
israel,1,21.7,21.7,21.7
tanzania,1,21.1,21.1,21.1
uzbekistan,1,20.6,20.6,20.6
turkey,2,20.5,17.2,23.9
brazil,3,20.0,15.0,23.9
portugal,1,20.0,20.0,20.0
canada,9,19.7,16.1,22.8
australia,7,18.3,13.3,30.0
serbia,1,17.8,17.8,17.8
mexico,1,17.8,17.8,17.8
kazakstan,1,17.2,17.2,17.2
france,1,17.2,17.2,17.2
paraguay,1,17.2,17.2,17.2
kenya,1,16.1,16.1,16.1
new-zealand,1,16.1,16.1,16.1
ukraine,1,15.6,15.6,15.6
colombia,1,15.0,15.0,15.0
uk,1,15.0,15.0,15.0
estonia,1,15.0,15.0,15.0
austria,1,15.0,15.0,15.0
denmark,1,13.9,13.9,13.9
croatia,1,13.9,13.9,13.9
switzerland,1,13.9,13.9,13.9
hungary,1,13.9,13.9,13.9
ethiopia,1,13.9,13.9,13.9
belarus,1,12.8,12.8,12.8
chile,1,12.8,12.8,12.8
finland,1,12.8,12.8,12.8
poland,1,12.8,12.8,12.8
zimbabwe,1,12.8,12.8,12.8
sweden,1,12.2,12.2,12.2
belgium,1,12.2,12.2,12.2
south-africa,2,11.4,10.0,12.8
russia,2,11.4,7.8,15.0
netherlands,1,11.1,11.1,11.1
madagascar,1,11.1,11.1,11.1
germany,2,10.6,10.0,11.1
norway,1,10.0,10.0,10.0
czech-republic,1,10.0,10.0,10.0
argentina,1,8.9,8.9,8.9
uruguay,1,7.8,7.8,7.8
iceland,1,7.8,7.8,7.8
ireland,1,7.2,7.2,7.2
bolivia,1,5.6,5.6,5.6
