City,Condition,Local-Time,Source-URL,Temperature,Scraped-At
Accra,Passing clouds. Mild.,Mon 1:27 am,https://www.timeanddate.com/weather/ghana/accra,75ʡF,2026-08-24T01:27:03.395074+00:00
Edmonton,Partly sunny. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/canada/edmonton,70ʡF,2026-08-24T01:27:03.395074+00:00
Nassau,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/bahamas/nassau,86ʡF,2026-08-24T01:27:03.395074+00:00
Addis Ababa,Partly cloudy. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/ethiopia/addis-ababa,57ʡF,2026-08-24T01:27:03.395074+00:00
Frankfurt,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/germany/frankfurt,50ʡF,2026-08-24T01:27:03.395074+00:00
New Delhi,Fog. Warm.,Mon 6:57 am,https://www.timeanddate.com/weather/india/new-delhi,83ʡF,2026-08-24T01:27:03.395074+00:00
Adelaide,Cool.,Mon 10:57 am,https://www.timeanddate.com/weather/australia/adelaide,56ʡF,2026-08-24T01:27:03.395074+00:00
Guatemala City,Passing clouds. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/guatemala/guatemala,73ʡF,2026-08-24T01:27:03.395074+00:00
New Orleans,Passing clouds. Warm.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/new-orleans,87ʡF,2026-08-24T01:27:03.395074+00:00
Algiers,Passing clouds. Warm.,Mon 2:27 am,https://www.timeanddate.com/weather/algeria/algiers,84ʡF,2026-08-24T01:27:03.395074+00:00
Halifax,Fog. Mild.,Sun 10:27 pm,https://www.timeanddate.com/weather/canada/halifax,72ʡF,2026-08-24T01:27:03.395074+00:00
New York,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/new-york,75ʡF,2026-08-24T01:27:03.395074+00:00
Almaty,Broken clouds. Mild.,Mon 6:27 am,https://www.timeanddate.com/weather/kazakstan/almaty,63ʡF,2026-08-24T01:27:03.395074+00:00
Hanoi,Sunny. Warm.,Mon 8:27 am,https://www.timeanddate.com/weather/vietnam/hanoi,81ʡF,2026-08-24T01:27:03.395074+00:00
Oslo,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/norway/oslo,50ʡF,2026-08-24T01:27:03.395074+00:00
Amman,Clear. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/jordan/amman,75ʡF,2026-08-24T01:27:03.395074+00:00
Harare,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/zimbabwe/harare,55ʡF,2026-08-24T01:27:03.395074+00:00
Ottawa,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/canada/ottawa,64ʡF,2026-08-24T01:27:03.395074+00:00
Amsterdam,Fog. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/netherlands/amsterdam,52ʡF,2026-08-24T01:27:03.395074+00:00
Havana,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/cuba/havana,82ʡF,2026-08-24T01:27:03.395074+00:00
Paris,Clear. Mild.,Mon 3:27 am,https://www.timeanddate.com/weather/france/paris,63ʡF,2026-08-24T01:27:03.395074+00:00
Anadyr,Light rain. Overcast. Cool.,Mon 1:27 pm,https://www.timeanddate.com/weather/russia/anadyr,46ʡF,2026-08-24T01:27:03.395074+00:00
Helsinki,Clear. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/finland/helsinki,55ʡF,2026-08-24T01:27:03.395074+00:00
